date,conv,minutes,mode,session,accuracy_pct,substantive_pct
2026-07-16,chiba0132,full,hybrid,chiba0132,100,
2026-07-16,chiba0132,full,hybrid,2026-07-16_1630,65,
2026-07-16,chiba0132,full,hybrid,2026-07-16_1653,62,
2026-07-16,chiba0132,full,hybrid,2026-07-16_1551,64,83
2026-07-16,chiba0232,full,2026-07-16_1713,63
2026-07-16,chiba0532,full,hybrid,2026-07-16_1723,31,39
2026-07-16,chiba0932,full,hybrid,2026-07-16_1736,66,77
2026-07-16,chiba0532,full,hybrid,2026-07-16_2339,38,49
2026-07-17,chiba0532,full,hybrid,2026-07-16_2357,31,40
2026-07-17,chiba0532,full,hybrid,2026-07-17_0016,45,57
2026-07-17,chiba0532,full,hybrid,2026-07-17_0027,33,42
2026-07-17,chiba0532,full,hybrid,2026-07-17_0051,28,35
2026-07-17,chiba0532,full,hybrid,2026-07-17_1024,26,31
2026-07-17,chiba0132,full,hybrid,2026-07-17_1036,51,67
2026-07-17,chiba0532,full,hybrid,2026-07-17_1049,52,64
2026-07-17,chiba0132,full,hybrid,2026-07-17_1059,51,68
2026-07-17,chiba0132,full,hybrid,2026-07-17_1113,60,79
